corner_label,temp_c,vctrl_v,quantity,simulated,closed_form,rel_err_pct,tol_pct,status
sf,27,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,27,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
sf,125,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
sf,125,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
sf,125,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,-40,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,-40,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,-40,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,27,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,27,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,27,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
fs,125,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
fs,125,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
fs,125,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,-40,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,-40,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,-40,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,27,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,27,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,27,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
tt,125,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
tt,125,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
tt,125,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,-40,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,-40,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,-40,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,27,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,27,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,27,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ss,125,3.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ss,125,3.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ss,125,3.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,0.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,0.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,0.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,0.3,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,0.3,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,0.3,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,0.6,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,0.6,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,0.6,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,0.9,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,0.9,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,0.9,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,1.2,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,1.2,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,1.2,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,1.8,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,1.8,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,1.8,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,2.4,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,2.4,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,2.4,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
ff,-40,3.0,leff_1ghz_h,1.003560e-09,1.003559e-09,+0.00013,0.1,PASS
ff,-40,3.0,q_1ghz,3.127930e+00,3.127934e+00,-0.00011,0.1,PASS
ff,-40,3.0,srf_hz,1.591190e+10,1.591231e+10,-0.00258,0.1,PASS
